Relation	TweetId	Text	English
0	458277665150357506	RT @Mans_Teevs: Tas moments, kad skolotāja domā, ka tu mācies, bet īstenībā tu ēd spageti. http://t.co/VbwKaPGWHl	RT @Mans_Teevs: That moment when the teacher thinks you're studying, but you're actually eating spaghetti. http://t.co/VbwKaPGWHl
0	458497614909280256	@kazhe Maltas gaļas tirdziņš Lieldienās diemžēl bija slēgts. :-) http://t.co/Crypzlgxyz	@kazhe The Maltese meat market was unfortunately closed on Easter. :-) http://t.co/Crypzlgxyz
2	520052839989907456	RT @Leons_melis: Kolēģis ieberzās - šokolāde ar tārpiem @maximaveikals http://t.co/aHxKCJV67P	RT @Leons_melis: Colleague got owned - chocolate with worms @maximaveikals http://t.co/aHxKCJV67P
0	535871626966237186	RT @ViestursKancs: Klau, kur pazuda šie šokolādes batoniņi? :( http://t.co/5SJDAYhMc8	RT @ViestursKancs: Hey, where did these chocolate bars go? :( http://t.co/5SJDAYhMc8
1	544180381587881985	RT @dzentlmenis: Īsts vīrietis ir kā kafija... http://t.co/C6Sdl4kCIh	RT @dzentlmenis: A real man is like coffee... http://t.co/C6Sdl4kCIh
3	553519034575364096	Piektdienā kafija garšo vēl labāk. :)) http://t.co/tML5rHH71c	Coffee tastes even better on Friday. :)) http://t.co/tML5rHH71c
2	563284243439431680	Jaunieti, šodien  no 16.00-18.00 nāc un piedalies diskusijā „Kafija ar politiķiem” http://t.co/E9thNtiKsP http://t.co/chahVNg6N9	Young person, today  from 16.00-18.00 come and participate in the discussion “Coffee with politicians” http://t.co/E9thNtiKsP http://t.co/chahVNg6N9
0	682528212065333248	RT @and_kse: Ksenija ne tikai komentē, bet ražo arī neveiklas apsveikuma kartiņas. Lai veselīgs, garšīgs un prātīgs 2016. gads! https://t.c…	RT @and_kse: Ksenija is not only commenting, but is also producing awkward greeting cards. Have a healthy, tasty and sober 2016! https://t.c…
2	837936207719866368	Svaigi, garšīgi un viegli – salāti ar rukolu: 10 receptes pavasarīgām brīvdienām https://t.co/RIZMGoeJDb https://t.co/M6RUO2TR6b	Fresh, tasty and easy – salad with rucola: 10 recipes for a spring holiday https://t.co/RIZMGoeJDb https://t.co/M6RUO2TR6b
3	1442542955101925382	https://t.co/oZlVmylyIc	https://t.co/oZlVmylyIc
1	1693218799208534033	Ātrie lādētāji ir štelle! Tik ātri salādējos, ka pat nepaspēju normāli paēst :/ https://t.co/YOuYLklTe8	Quick chargers are the bomb! I charged so fast that I couldn't even eat properly :/ https://t.co/YOuYLklTe8
1	1693232564163477626	Viss. Tagad uz dušu un tad ēdīšu saldējumu. Mučas bučas @MKradzina par recepti 😘 sanāca ļoti labi 👍 https://t.co/kL47A81PGP https://t.co/KooaHg8B3u	That's it. Now to the shower and then I'll eat ice cream. Many kisses @MKradzina for the recipe 😘 turned out very well 👍 https://t.co/kL47A81PGP https://t.co/KooaHg8B3u
0	1693238502987608411	Ja garšo CAVA, tad šī ir 👌🏻 https://t.co/jrk7fhcrr0	If you like CAVA, then this is 👌🏻 https://t.co/jrk7fhcrr0
0	1693239408013570261	Ļoti laba kartupeļu raža šogad. Maz, bet lieli! X3-4 no iestādītā… https://t.co/cuRHfebGh4	Very good harvest of potatoes this year. Few, but big! X3-4 from what was planted… https://t.co/cuRHfebGh4
0	1693240975353606403	Hoijeres namā ir gan 17.-19.gs interjera muzejs, gan arī krogs, kurā var brangi paēst, pa agrāko laiku modei. https://t.co/UIAgqjdHhc	In Hoijeres House there are both a 17th-19th century interior museum, as well as a pub where you can properly eat, in the fashion of earlier times. https://t.co/UIAgqjdHhc
0	1693246710514897251	Čempionu pusdienas! :D https://t.co/qZsZfFokRj	Lunch of Champions! :D https://t.co/qZsZfFokRj
2	1693250732021936150	Ir vīkends, ir pastaiga pa mežu, ir gailenes! 👋🤤💛 Tagad var kruķīt mērci. https://t.co/ndlmWYFnaR	It's the weekend, there is a walk in the forest, there are chanterelles! 👋🤤💛 You can now crunch a sauce. https://t.co/ndlmWYFnaR
