food_id,Name,Coarse-grained categories,Fine-grained categories,Cuisines,Associated Cuisines,Area,Countries,Wikipedia Link,Alias,Top_15_Similar_Foods,Top_15_Same_Fine_Category,Top_15_Same_Coarse_Category
0,Rawon,"[""soup""]","[""beef soup""]","[""Indonesian""]","[""Indonesian"",""Singaporean""]","[""Surabaya"", ""Malang"", ""Ponorogo"", ""East Java""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Rawon,"{""bg - Bulgarian"": ""Равон"", ""ca - Catalan"": ""Rawon"", ""de - German"": ""Rawon"", ""en-simple - Simple English"": ""Rawon"", ""fr - French"": ""Rawon"", ""gl - Galician"": ""Rawon"", ""id - Indonesian"": ""Rawon"", ""it - Italian"": ""Rawon"", ""ja - Japanese"": ""ラウォン"", ""jv - Javanese"": ""Rawon"", ""ko - Korean"": ""라원"", ""ms - Malay"": ""Rawon"", ""mzn - Mazanderani"": ""راوون"", ""pl - Polish"": ""Rawon"", ""ru - Russian"": ""Равон"", ""sv - Swedish"": ""Rawon"", ""tl - Tagalog"": ""Rawon"", ""uk - Ukrainian"": ""Равон""}","[319, 1777, 324, 352, 3, 1767, 1226, 1577, 1790, 171, 1288, 1766, 1339, 1768, 1590]","[2, 1, 2021, 109]","[1777, 3, 1226, 1790, 1339, 1301, 6, 1294, 1317, 1299, 1526, 1616, 1532, 1884, 2388]"
1,Soto Betawi,"[""soup""]","[""beef soup""]","[""Indonesian""]","[""Indonesian""]","[""Jakarta"", ""Java""]","[""Indonesia""]",https://id.wikipedia.org/wiki/Soto_Betawi,"{""jv - Jawa"": ""Soto Betawi"", ""ms - Melayu"": ""Soto Betawi"", ""su - Sunda"": ""Soto Batawi""}","[2, 3, 2237, 1299, 1597, 171, 2324, 1292, 2229, 1539, 2356, 1517, 476, 1294, 377]","[2, 2021, 0, 109]","[2, 3, 2237, 1299, 1597, 2324, 1517, 1294, 2021, 6, 2323, 1301, 1261, 1777, 1191]"
2,Soto Bandung,"[""soup""]","[""beef soup""]","[""Indonesian""]","[""Indonesian"",""Malaysian"",""Singaporean"",""Bruneian"",""Dutch"",""Surinamese""]","[""Bandung""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Soto_(food),"{""bjn - Banjar"": ""Soto"", ""es - Spanish"": ""Soto"", ""fr - French"": ""Soto"", ""id - Indonesian"": ""Soto"", ""ja - Japanese"": ""ソト"", ""jv - Javanese"": ""Soto"", ""ka - Georgian"": ""სოტო"", ""ko - Korean"": ""소토"", ""ms - Malay"": ""Soto"", ""my - Burmese"": ""ဆိုတို"", ""nl - Dutch"": ""Soto"", ""pt - Portuguese"": ""Soto"", ""th - Thai"": ""โซโต"", ""uk - Ukrainian"": ""Сото"", ""yue - Cantonese"": ""印尼湯""}","[1, 3, 2237, 2229, 1597, 1294, 1553, 2056, 476, 6, 84, 1766, 307, 2021, 171]","[1, 2021, 0, 109]","[1, 3, 2237, 1597, 1294, 6, 2021, 2324, 1299, 0, 1948, 2350, 1261, 1777, 1599]"
3,Soto Banjar,"[""soup""]","[""soup""]","[""Indonesian""]","[""Indonesian"",""Malaysian"",""Singaporean"",""Bruneian"",""Dutch"",""Surinamese""]","[""Banjarmasin""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Soto_(food),"{""bjn - Banjar"": ""Soto"", ""es - Spanish"": ""Soto"", ""fr - French"": ""Soto"", ""id - Indonesian"": ""Soto"", ""ja - Japanese"": ""ソト"", ""jv - Javanese"": ""Soto"", ""ka - Georgian"": ""სოტო"", ""ko - Korean"": ""소토"", ""ms - Malay"": ""Soto"", ""my - Burmese"": ""ဆိုတို"", ""nl - Dutch"": ""Soto"", ""pt - Portuguese"": ""Soto"", ""th - Thai"": ""โซโต"", ""uk - Ukrainian"": ""Сото"", ""yue - Cantonese"": ""印尼湯""}","[2, 1, 2237, 1777, 6, 1299, 0, 1767, 1597, 84, 1565, 1766, 351, 2367, 1226]","[1607, 1615, 1623]","[2, 1, 2237, 1777, 6, 1299, 0, 1597, 1565, 2367, 1226, 1317, 1790, 1294, 2177]"
4,Gulai,"[""stew""]","[""curry""]","[""Indonesian""]","[""Indonesian"",""Malaysian"",""Singaporean"",""Bruneian"",""Thai""]","[""Minangkabau""]","[""Indonesia""]",https://en.wikipedia.org/wiki/Gulai,"{""bn - Bangla"": ""গুলাই"", ""es - Spanish"": ""Gulai"", ""fr - French"": ""Gulai"", ""id - Indonesian"": ""Gulai"", ""jv - Javanese"": ""Gulé"", ""ko - Korean"": ""굴라이"", ""min - Minangkabau"": ""Gulai"", ""mk - Macedonian"": ""Гулаи"", ""ms - Malay"": ""Gulai"", ""my - Burmese"": ""ဂူလိုင်"", ""ru - Russian"": ""Гулай"", ""su - Sundanese"": ""Gulé"", ""th - Thai"": ""กูไล"", ""uk - Ukrainian"": ""Гулаї""}","[1581, 1237, 1525, 1526, 1792, 1523, 2354, 1920, 1292, 1167, 85, 2318, 46, 1538, 1926]","[10, 5, 7, 9, 12, 11]","[1581, 1237, 1525, 1792, 1523, 2354, 85, 2318, 1538, 1512, 1313, 1173, 500, 10, 1527]"
5,Kare-kare,"[""stew""]","[""curry""]","[""Filipino""]","[""Filipino""]","[""Philippines""]","[""Philippines""]",https://en.wikipedia.org/wiki/Kare-kare,"{""bcl - Central Bikol"": ""Kare-kare"", ""de - German"": ""Kare-Kare"", ""es - Spanish"": ""Kare-kare"", ""it - Italian"": ""Kare-kare"", ""ja - Japanese"": ""カレカレ"", ""jv - Javanese"": ""Karé-karé"", ""nb - Norwegian Bokmål"": ""Karekare"", ""pt - Portuguese"": ""Kare-kare"", ""th - Thai"": ""การี-กาเร"", ""tl - Tagalog"": ""Kare-kare"", ""uk - Ukrainian"": ""Каре-каре"", ""zh - Chinese"": ""卡雷卡雷""}","[1279, 2190, 1542, 1289, 1625, 382, 2318, 1544, 1581, 1171, 1546, 1590, 1173, 1564, 1889]","[11, 12, 10, 4, 7, 9]","[1279, 1542, 1625, 2318, 1544, 1581, 1171, 1546, 1590, 1173, 1564, 1566, 1515, 1288, 1570]"
6,Pindang patin,"[""soup""]","[""fish soup""]","[""Indonesian""]","[""Indonesian""]","[""Palembang""]","[""Indonesia""]",https://id.wikipedia.org/wiki/Pindang_Palembang,{},"[2149, 1511, 2260, 352, 1565, 1515, 282, 171, 283, 3, 305, 1297, 2350, 351, 21]","[2149, 1622, 2327, 1194, 2365]","[2149, 1565, 3, 1297, 2350, 1299, 1226, 1261, 0, 1593, 1, 1622, 2327, 2, 2351]"
7,Chicken tikka masala,"[""stew""]","[""curry""]","[""Indian Subcontinent"",""British""]","[""Indian Subcontinent"",""British""]","[""United Kingdom""]","[""United Kingdom"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",https://en.wikipedia.org/wiki/Chicken_tikka_masala,"{""ar - Arabic"": ""دجاج تكة مصالحة"", ""bn - Bangla"": ""চিকেন টিক্কা মাসালা"", ""ceb - Cebuano"": ""Ṭikka-masālā nga manok"", ""cs - Czech"": ""Kuřecí tikka masala"", ""da - Danish"": ""Tikka Masala"", ""de - German"": ""Chicken tikka masala"", ""en-simple - Simple English"": ""Chicken tikka masala"", ""es - Spanish"": ""Pollo tikka masala"", ""eu - Basque"": ""Oilasko tikka masala"", ""fa - Persian"": ""چیکن تکه مصالح"", ""fi - Finnish"": ""Kana tikka masala"", ""fr - French"": ""Poulet tikka masala"", ""he - Hebrew"": ""עוף טיקה מסאלה"", ""id - Indonesian"": ""Ayam tikka masala"", ""it - Italian"": ""Chicken tikka masala"", ""ja - Japanese"": ""チキンティッカマサラ"", ""jv - Javanese"": ""Pitik tikka masala"", ""ko - Korean"": ""치킨 티카 마살라"", ""la - Latin"": ""Chicken tikka masala"", ""nb - Norwegian Bokmål"": ""Chicken tikka masala"", ""nl - Dutch"": ""Chicken tikka masala"", ""nn - Norwegian Nynorsk"": ""Chicken tikka masala"", ""pl - Polish"": ""Kurczak tikka masala"", ""pt - Portuguese"": ""Frango tikka masala"", ""ru - Russian"": ""Курица тикка масала"", ""sco - Scots"": ""Chicken tikka masala"", ""sv - Swedish"": ""Chicken tikka masala"", ""th - Thai"": ""ไก่ทิกก้ามาซาล่า"", ""tr - Turkish"": ""Tavuk tikka masala"", ""uk - Ukrainian"": ""Курка тікка масала"", ""uz - Uzbek"": ""Tikka masala tovuqi"", ""vi - Vietnamese"": ""Gà Tikka Masala"", ""yue - Cantonese"": ""瑪莎拉雞"", ""zh - Chinese"": ""香料烤雞咖哩""}","[1168, 8, 1172, 1938, 211, 390, 1237, 917, 1521, 1249, 154, 1303, 499, 1235, 86]","[11, 4, 5, 10, 12, 9]","[1938, 1237, 1521, 1303, 2349, 1313, 1506, 1515, 63, 1288, 1250, 1544, 1590, 1596, 1581]"
8,Chicken tikka,"[""meat""]","[""baked chicken""]","[""Indian Subcontinent""]","[""Indian"",""Bangladeshi"",""Pakistani""]","[""India"", ""Bangladesh"", ""Pakistan""]","[""India"", ""Bangladesh"", ""Pakistan"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",https://en.wikipedia.org/wiki/Chicken_tikka,"{""ar - Arabic"": ""دجاج تكة"", ""bn - Bangla"": ""চিকেন টিক্কা"", ""da - Danish"": ""Murgh tikka"", ""en-simple - Simple English"": ""Chicken tikka"", ""es - Spanish"": ""Pollo tikka"", ""fr - French"": ""Poulet tikka"", ""he - Hebrew"": ""עוף טיקה"", ""hi - Hindi"": ""चिकन टिक्का"", ""id - Indonesian"": ""Ayam tikka"", ""it - Italian"": ""Pollo tikka"", ""ja - Japanese"": ""チキンティッカ"", ""jv - Javanese"": ""Pitik tikka"", ""kn - Kannada"": ""ಚಿಕನ್ ಟಿಕ್ಕಾ"", ""ko - Korean"": ""무르그 티카"", ""mai - Maithili"": ""चिकन टिक्का"", ""ml - Malayalam"": ""ചിക്കൻ ടിക്ക"", ""nb - Norwegian Bokmål"": ""Murgh tikka"", ""or - Odia"": ""ଚିକେନ ଟିକ୍କା"", ""pa - Punjabi"": ""ਚਿਕਨ ਟਿੱਕਾ"", ""pt - Portuguese"": ""Frango tikka"", ""ur - Urdu"": ""مرغ ٹکہ"", ""vi - Vietnamese"": ""Gà Tikka"", ""yue - Cantonese"": ""印度燒雞塊""}","[7, 1201, 457, 1172, 454, 211, 390, 1293, 448, 1168, 154, 1379, 1451, 2171, 1096]",[],"[1172, 454, 1451, 1718, 1459, 2068, 1770, 1282, 1502, 1235, 1292, 2015, 1499, 451, 1321]"
9,Saag,"[""stew""]","[""curry""]","[""Indian Subcontinent""]","[""Indian Subcontinent""]","[""Punjab""]","[""India""]",https://en.wikipedia.org/wiki/Saag,"{""ar - Arabic"": ""ساغ"", ""bn - Bangla"": ""শাক"", ""ca - Catalan"": ""Saag"", ""es - Spanish"": ""Saag"", ""fr - French"": ""Saag"", ""he - Hebrew"": ""סאג"", ""id - Indonesian"": ""Saag"", ""ja - Japanese"": ""サーグ"", ""jv - Javanese"": ""Saag"", ""kn - Kannada"": ""ಸಾಗ್"", ""ko - Korean"": ""사그"", ""or - Odia"": ""ଶାଗ"", ""pa - Punjabi"": ""ਸਾਗ"", ""pnb - Western Punjabi"": ""ساگ"", ""pt - Portuguese"": ""Saag"", ""sat - Santali"": ""ᱵᱷᱚᱡᱟ"", ""uk - Ukrainian"": ""Сааг""}","[1237, 1524, 1570, 504, 1173, 1935, 1586, 1889, 1561, 1292, 1792, 10, 1530, 1518, 194]","[10, 11, 4, 12, 5, 7]","[1237, 1524, 1570, 1173, 1561, 1792, 10, 1530, 1518, 1533, 1507, 1894, 11, 1589, 1566]"
