Name,Alias,Coarse-grained categories,Fine-grained categories,Cuisines,Associated Cuisines,Area,Countries,Region1,Region2,Region3,Region4,Region5,Text Description,Image1 License,Image1 name / URL,Image2 License,Image2 name / URL,Image3 License,Image3 name / URL,Image4 License,Image4 name / URL,Image5 License,Image5 name / URL,Image6 License,Image6 name / URL,Image7 License,Image7 name / URL,Image8 License,Image8 name / URL
Rawon,[{'ꦫꦮꦺꦴꦤ꧀': 'Javanese'}],"[""soup""]","[""beef soup""]","[""Indonesian""]","[""Indonesian"",""Singaporean""]","[""Surabaya"", ""Malang"", ""Ponorogo"", ""East Java""]","[""Indonesia""]",South Eastern Asia,,,,,"The soup is composed of a ground mixture of garlic, shallots, star anise, ginger, candlenut, turmeric, red chili, and salt and is sautéed with oil.",CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Rawon_Bu_Rima_Leces_%28cropped%29.jpg/1024px-Rawon_Bu_Rima_Leces_%28cropped%29.jpg?download,CC-BY 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Rawon_Setan_II.jpg/1024px-Rawon_Setan_II.jpg?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/2/20/Nasi_Rawon_A.JPG?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/a/a5/Nasi_Rawon_B.JPG?20081205045653?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/6/64/Rawon_setan.jpg?20121005071915?download,,,,,,
Soto Betawi,[{'no_alias': True}],"[""soup""]","[""beef soup""]","[""Indonesian""]","[""Indonesian""]","[""Jakarta"", ""Java""]","[""Indonesia""]",South Eastern Asia,,,,,"The soup is made of beef or beef offal, cooked in a cow milk or coconut milk broth, with fried potato and tomato.",CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Soto_Betawi_in_Sarinah.JPG/1280px-Soto_Betawi_in_Sarinah.JPG?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Soto_Betawi_Glodok.JPG/1024px-Soto_Betawi_Glodok.JPG?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Soto_Betawi_Jakarta_Street_Side_Food.JPG/909px-Soto_Betawi_Jakarta_Street_Side_Food.JPG?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Soto_kaki_kambing.JPG/1024px-Soto_kaki_kambing.JPG?download,,,,,,,,
Soto Bandung,[{'no_alias': []}],"[""soup""]","[""beef soup""]","[""Indonesian""]","[""Indonesian"",""Malaysian"",""Singaporean"",""Bruneian"",""Dutch"",""Surinamese""]","[""Bandung""]","[""Indonesia""]",South Eastern Asia,,,,,"The soup is a clear beef soto that has pieces of meat, white radish, and fried soybeans.",CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Soto_Bandung_2.JPG/1144px-Soto_Bandung_2.JPG?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Soto_Bandung.jpg/1002px-Soto_Bandung.jpg?download,,,,,,,,,,,,
Soto Banjar,[{'no_alias': []}],"[""soup""]","[""soup""]","[""Indonesian""]","[""Indonesian"",""Malaysian"",""Singaporean"",""Bruneian"",""Dutch"",""Surinamese""]","[""Banjarmasin""]","[""Indonesia""]",South Eastern Asia,,,,,"The soup is spiced with star anise, clove, cassia and lemongrass, and sour hot sambal, served with potato cakes.",CC-BY 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Soto_Banjar_ketupat.jpg/1024px-Soto_Banjar_ketupat.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/a/af/Soto_Banjar_1.jpg?download,CC-BY 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Soto_Banjar_di_Kandangan.JPG/1024px-Soto_Banjar_di_Kandangan.JPG?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Soto_Banjar_di_Balikpapan.jpg/768px-Soto_Banjar_di_Balikpapan.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Soto_banjar%2C_Pak_Ahmat%2C_Martapura%2C_South_Kalimantan%2C_2018-07-28_02.jpg/1024px-Soto_banjar%2C_Pak_Ahmat%2C_Martapura%2C_South_Kalimantan%2C_2018-07-28_02.jpg?download,CC-BY 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Sop_Banjar_Bang_Amat.jpg/1024px-Sop_Banjar_Bang_Amat.jpg?download,,,,
Gulai,"[{'guleh': 'Javanese-Surinamese'}, {'no_alias': 'not_stated'}]","[""stew""]","[""curry""]","[""Indonesian""]","[""Indonesian"",""Malaysian"",""Singaporean"",""Bruneian"",""Thai""]","[""Minangkabau""]","[""Indonesia""]",South Eastern Asia,,,,,"The spicy and rich stew where the main ingredients of this dish are usually poultry, goat meat, beef, mutton, various kinds of offal, fish and seafood, as well as vegetable such as cassava leaves, unripe jackfruit and banana stem.",CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Gulai_kapalo_lauak.jpg/1024px-Gulai_kapalo_lauak.jpg?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Gulai_ayam.JPG/1024px-Gulai_ayam.JPG?download,CC-BY 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Gulai_cubadak_%28gulai_nangka%29.JPG/1024px-Gulai_cubadak_%28gulai_nangka%29.JPG?download,CC-BY 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Gulai_usus.JPG/1024px-Gulai_usus.JPG?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Gulai_ampela.JPG/1024px-Gulai_ampela.JPG?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Gulai_Kapalo_Lauak.jpg/1024px-Gulai_Kapalo_Lauak.jpg?download,CC-BY 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Gulai_kambing_masakan_Padang.JPG/1024px-Gulai_kambing_masakan_Padang.JPG?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Gulai_Otak.jpg/1024px-Gulai_Otak.jpg?download
Kare-kare,[{'name': 'no_alias'}],"[""stew""]","[""curry""]","[""Filipino""]","[""Filipino""]","[""Philippines""]","[""Philippines""]",South Eastern Asia,,,,,The stew that features a thick savory peanut sauce.,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Kare-Kare.jpg/768px-Kare-Kare.jpg?download,CC-BY 2.0,https://upload.wikimedia.org/wikipedia/commons/5/5a/Kare-kare.jpg?20071018064803?download,CC0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Kare-kare_%28Philippines%29_03.jpg/1024px-Kare-kare_%28Philippines%29_03.jpg?download,CC0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Kare-kare_%28Philippines%29_02.jpg/1024px-Kare-kare_%28Philippines%29_02.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Kare-Kare%2C_Aug_2024.jpg/1020px-Kare-Kare%2C_Aug_2024.jpg?download,CC0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/07170jfCuisine_of_Bulacan_Kare-kare_and_Menudofvf_06.jpg/1024px-07170jfCuisine_of_Bulacan_Kare-kare_and_Menudofvf_06.jpg?download,CC0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/6367dKare-kare_Bulacan.jpg/1024px-6367dKare-kare_Bulacan.jpg?download,CC-BY 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Kare-kare_oxtail_stew_1.jpg/1024px-Kare-kare_oxtail_stew_1.jpg?download
Pindang patin,[{'no_alias': 'not_stated'}],"[""soup""]","[""fish soup""]","[""Indonesian""]","[""Indonesian""]","[""Palembang""]","[""Indonesia""]",South Eastern Asia,,,,,This spicy and savory soup where the main ingredients of this dish are usually catfish with herbs and spices,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Pindang_Patin_Palembang_3.jpg/1024px-Pindang_Patin_Palembang_3.jpg?download,,,,,,,,,,,,,,
Chicken tikka masala,[{'name': 'no_alias'}],"[""stew""]","[""curry""]","[""Indian Subcontinent"",""British""]","[""Indian Subcontinent"",""British""]","[""United Kingdom""]","[""United Kingdom"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",Southern Asia,Northern Europe,,,,The stew consists of roasted marinated chicken chunks in a spiced sauce.,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Chicken_Tikka_Masala_on_White_Plate_with_Spoon.jpg/1109px-Chicken_Tikka_Masala_on_White_Plate_with_Spoon.jpg?download,CC-BY 4.0,https://upload.wikimedia.org/wikipedia/commons/4/44/Chicken_tikka_masala_at_Yeti_in_Glen_Ellen_2015_-_Sarah_Stierch.jpg?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Homemade_chicken_tikka_masala.jpg/1024px-Homemade_chicken_tikka_masala.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Taj_Mahal_-_Chicken_Tikka_Massala.jpg/1023px-Taj_Mahal_-_Chicken_Tikka_Massala.jpg?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Chicken_Tikka_Masala.jpg/1280px-Chicken_Tikka_Masala.jpg?download,CC-BY 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Chicken_Tikka_Masala_-_4705955437.jpg/680px-Chicken_Tikka_Masala_-_4705955437.jpg?download,,,,
Chicken tikka,"[{'tike': 'Turkish'}, {'tikə': 'Azerbaijani'}]","[""meat""]","[""baked chicken""]","[""Indian Subcontinent""]","[""Indian"",""Bangladeshi"",""Pakistani""]","[""India"", ""Bangladesh"", ""Pakistan""]","[""India"", ""Bangladesh"", ""Pakistan"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",Southern Asia,,,,,The dish is small pieces of boneless chicken baked using skewers on a brazier.,Public Domain,https://upload.wikimedia.org/wikipedia/commons/e/ea/Chicken_Tikka_%281%29.jpg?20111023115340?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Chicken_tikka_in_Araku_Valley%2C_Andhra_Pradesh_01.jpg/1024px-Chicken_tikka_in_Araku_Valley%2C_Andhra_Pradesh_01.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chicken_Tikka_1.jpg/805px-Chicken_Tikka_1.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Chicken-Tikka.jpg/1024px-Chicken-Tikka.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Chicken_Tikka_in_oven.jpg/1024px-Chicken_Tikka_in_oven.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Grilled_Chicken_Tikka_Sizzler_with_Vegetables_and_Lemon_Wedge.jpg/1024px-Grilled_Chicken_Tikka_Sizzler_with_Vegetables_and_Lemon_Wedge.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Grilled_Chicken_Tikka_served_on_a_sizzling_platter_with_vegetables.jpg/1024px-Grilled_Chicken_Tikka_served_on_a_sizzling_platter_with_vegetables.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Chicken_Tikka_Kebab.jpg/1024px-Chicken_Tikka_Kebab.jpg?download
Saag,"[{'Saag': 'Hindustani'}, {'Sag': 'not_stated'}, {'Jairish ki dish': 'not_stated'}, {'Jairish ki dish': 'not_stated'}]","[""stew""]","[""curry""]","[""Indian Subcontinent""]","[""Indian Subcontinent""]","[""Punjab""]","[""India""]",Southern Asia,,,,,"The stew is leafy vegetable dish eaten with bread. It can be made from mustard greens, collard greens, basella or finely chopped broccoli along with added spices and sometimes other ingredients, such as chhena. ",Public Domain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Sarsoon_Ka_Saag_Cooked.JPG/1024px-Sarsoon_Ka_Saag_Cooked.JPG?download,CC-BY-SA 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Saag_paneer.jpg/1024px-Saag_paneer.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rayo_Ko_Saag_2.jpg/768px-Rayo_Ko_Saag_2.jpg?download,CC-BY 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Saag_Paneer_%283534900318%29.jpg/1024px-Saag_Paneer_%283534900318%29.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Rayo_Saag.jpg/768px-Rayo_Saag.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Rayo_Ko_Saag_Cooked.jpg/768px-Rayo_Ko_Saag_Cooked.jpg?download,,,,
Dhansak,[{'no_alias': []}],"[""stew""]","[""curry""]","[""Indian""]","[""Indian"",""Parsi""]","[""Gujarat""]","[""India""]",Southern Asia,,,,,The stew is made by cooking mutton or goat meat with a mixture of lentils and vegetable,CC0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Dhansak.JPG/1024px-Dhansak.JPG?download,CC-BY 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Chicken_Dhansak_%283173280389%29.jpg/1024px-Chicken_Dhansak_%283173280389%29.jpg?download,CC0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Dhansak_2.JPG/1024px-Dhansak_2.JPG?download,,,,,,,,,,
Palak paneer,"[{'palak chhena': 'not_stated'}, {'palak': 'Hindi, Marathi, Gujarati, and other Indian languages'}]","[""stew""]","[""curry""]","[""Indian""]","[""Indian""]","[""India""]","[""India""]",Southern Asia,,,,,The stew in a thick paste made from puréed spinach.,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Palak_Paneer_%28Cottage_cheese_in_spinach_gravy%29.jpg/1024px-Palak_Paneer_%28Cottage_cheese_in_spinach_gravy%29.jpg?download,CC-BY 2.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Palak_Paneer_curry_on_plate.jpg/1024px-Palak_Paneer_curry_on_plate.jpg?download,CC-BY-SA 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Preparing_Palak_Paneer.jpg/1024px-Preparing_Palak_Paneer.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/0/03/Palak_paneer_Karnataka_DSC0002.jpg?download,CC-BY 3.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Palak_Paneer_-_Hyatt_Hyderabad_Gachibowli_-_Hyderabad_2023-04-28_7789.jpg/1024px-Palak_Paneer_-_Hyatt_Hyderabad_Gachibowli_-_Hyderabad_2023-04-28_7789.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Palak_Paneer_in_Making.jpg/768px-Palak_Paneer_in_Making.jpg?download,CC-BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Yummy_Palak_Paneer.jpg/967px-Yummy_Palak_Paneer.jpg?download,,
