,Name,Wikipedia Link,json_aliases
0,Rawon,https://en.wikipedia.org/wiki/Rawon,"{""bg - Bulgarian"": ""Равон"", ""ca - Catalan"": ""Rawon"", ""de - German"": ""Rawon"", ""en-simple - Simple English"": ""Rawon"", ""fr - French"": ""Rawon"", ""gl - Galician"": ""Rawon"", ""id - Indonesian"": ""Rawon"", ""it - Italian"": ""Rawon"", ""ja - Japanese"": ""ラウォン"", ""jv - Javanese"": ""Rawon"", ""ko - Korean"": ""라원"", ""ms - Malay"": ""Rawon"", ""mzn - Mazanderani"": ""راوون"", ""pl - Polish"": ""Rawon"", ""ru - Russian"": ""Равон"", ""sv - Swedish"": ""Rawon"", ""tl - Tagalog"": ""Rawon"", ""uk - Ukrainian"": ""Равон""}"
1,Soto Betawi,https://id.wikipedia.org/wiki/Soto_Betawi,"{""jv - Jawa"": ""Soto Betawi"", ""ms - Melayu"": ""Soto Betawi"", ""su - Sunda"": ""Soto Batawi""}"
2,Soto Bandung,https://en.wikipedia.org/wiki/Soto_(food),"{""bjn - Banjar"": ""Soto"", ""es - Spanish"": ""Soto"", ""fr - French"": ""Soto"", ""id - Indonesian"": ""Soto"", ""ja - Japanese"": ""ソト"", ""jv - Javanese"": ""Soto"", ""ka - Georgian"": ""სოტო"", ""ko - Korean"": ""소토"", ""ms - Malay"": ""Soto"", ""my - Burmese"": ""ဆိုတို"", ""nl - Dutch"": ""Soto"", ""pt - Portuguese"": ""Soto"", ""th - Thai"": ""โซโต"", ""uk - Ukrainian"": ""Сото"", ""yue - Cantonese"": ""印尼湯""}"
3,Soto Banjar,https://en.wikipedia.org/wiki/Soto_(food),"{""bjn - Banjar"": ""Soto"", ""es - Spanish"": ""Soto"", ""fr - French"": ""Soto"", ""id - Indonesian"": ""Soto"", ""ja - Japanese"": ""ソト"", ""jv - Javanese"": ""Soto"", ""ka - Georgian"": ""სოტო"", ""ko - Korean"": ""소토"", ""ms - Malay"": ""Soto"", ""my - Burmese"": ""ဆိုတို"", ""nl - Dutch"": ""Soto"", ""pt - Portuguese"": ""Soto"", ""th - Thai"": ""โซโต"", ""uk - Ukrainian"": ""Сото"", ""yue - Cantonese"": ""印尼湯""}"
4,Soto Klethuk,https://en.wikipedia.org/wiki/Soto_(food),"{""bjn - Banjar"": ""Soto"", ""es - Spanish"": ""Soto"", ""fr - French"": ""Soto"", ""id - Indonesian"": ""Soto"", ""ja - Japanese"": ""ソト"", ""jv - Javanese"": ""Soto"", ""ka - Georgian"": ""სოტო"", ""ko - Korean"": ""소토"", ""ms - Malay"": ""Soto"", ""my - Burmese"": ""ဆိုတို"", ""nl - Dutch"": ""Soto"", ""pt - Portuguese"": ""Soto"", ""th - Thai"": ""โซโต"", ""uk - Ukrainian"": ""Сото"", ""yue - Cantonese"": ""印尼湯""}"
5,Gulai,https://en.wikipedia.org/wiki/Gulai,"{""bn - Bangla"": ""গুলাই"", ""es - Spanish"": ""Gulai"", ""fr - French"": ""Gulai"", ""id - Indonesian"": ""Gulai"", ""jv - Javanese"": ""Gulé"", ""ko - Korean"": ""굴라이"", ""min - Minangkabau"": ""Gulai"", ""mk - Macedonian"": ""Гулаи"", ""ms - Malay"": ""Gulai"", ""my - Burmese"": ""ဂူလိုင်"", ""ru - Russian"": ""Гулай"", ""su - Sundanese"": ""Gulé"", ""th - Thai"": ""กูไล"", ""uk - Ukrainian"": ""Гулаї""}"
6,Kare-kare,https://en.wikipedia.org/wiki/Kare-kare,"{""bcl - Central Bikol"": ""Kare-kare"", ""de - German"": ""Kare-Kare"", ""es - Spanish"": ""Kare-kare"", ""it - Italian"": ""Kare-kare"", ""ja - Japanese"": ""カレカレ"", ""jv - Javanese"": ""Karé-karé"", ""nb - Norwegian Bokmål"": ""Karekare"", ""pt - Portuguese"": ""Kare-kare"", ""th - Thai"": ""การี-กาเร"", ""tl - Tagalog"": ""Kare-kare"", ""uk - Ukrainian"": ""Каре-каре"", ""zh - Chinese"": ""卡雷卡雷""}"
7,Pindang patin,https://id.wikipedia.org/wiki/Pindang_Palembang,{}
8,Chicken tikka masala,https://en.wikipedia.org/wiki/Chicken_tikka_masala,"{""ar - Arabic"": ""دجاج تكة مصالحة"", ""bn - Bangla"": ""চিকেন টিক্কা মাসালা"", ""ceb - Cebuano"": ""Ṭikka-masālā nga manok"", ""cs - Czech"": ""Kuřecí tikka masala"", ""da - Danish"": ""Tikka Masala"", ""de - German"": ""Chicken tikka masala"", ""en-simple - Simple English"": ""Chicken tikka masala"", ""es - Spanish"": ""Pollo tikka masala"", ""eu - Basque"": ""Oilasko tikka masala"", ""fa - Persian"": ""چیکن تکه مصالح"", ""fi - Finnish"": ""Kana tikka masala"", ""fr - French"": ""Poulet tikka masala"", ""he - Hebrew"": ""עוף טיקה מסאלה"", ""id - Indonesian"": ""Ayam tikka masala"", ""it - Italian"": ""Chicken tikka masala"", ""ja - Japanese"": ""チキンティッカマサラ"", ""jv - Javanese"": ""Pitik tikka masala"", ""ko - Korean"": ""치킨 티카 마살라"", ""la - Latin"": ""Chicken tikka masala"", ""nb - Norwegian Bokmål"": ""Chicken tikka masala"", ""nl - Dutch"": ""Chicken tikka masala"", ""nn - Norwegian Nynorsk"": ""Chicken tikka masala"", ""pl - Polish"": ""Kurczak tikka masala"", ""pt - Portuguese"": ""Frango tikka masala"", ""ru - Russian"": ""Курица тикка масала"", ""sco - Scots"": ""Chicken tikka masala"", ""sv - Swedish"": ""Chicken tikka masala"", ""th - Thai"": ""ไก่ทิกก้ามาซาล่า"", ""tr - Turkish"": ""Tavuk tikka masala"", ""uk - Ukrainian"": ""Курка тікка масала"", ""uz - Uzbek"": ""Tikka masala tovuqi"", ""vi - Vietnamese"": ""Gà Tikka Masala"", ""yue - Cantonese"": ""瑪莎拉雞"", ""zh - Chinese"": ""香料烤雞咖哩""}"
9,Chicken tikka,https://en.wikipedia.org/wiki/Chicken_tikka,"{""ar - Arabic"": ""دجاج تكة"", ""bn - Bangla"": ""চিকেন টিক্কা"", ""da - Danish"": ""Murgh tikka"", ""en-simple - Simple English"": ""Chicken tikka"", ""es - Spanish"": ""Pollo tikka"", ""fr - French"": ""Poulet tikka"", ""he - Hebrew"": ""עוף טיקה"", ""hi - Hindi"": ""चिकन टिक्का"", ""id - Indonesian"": ""Ayam tikka"", ""it - Italian"": ""Pollo tikka"", ""ja - Japanese"": ""チキンティッカ"", ""jv - Javanese"": ""Pitik tikka"", ""kn - Kannada"": ""ಚಿಕನ್ ಟಿಕ್ಕಾ"", ""ko - Korean"": ""무르그 티카"", ""mai - Maithili"": ""चिकन टिक्का"", ""ml - Malayalam"": ""ചിക്കൻ ടിക്ക"", ""nb - Norwegian Bokmål"": ""Murgh tikka"", ""or - Odia"": ""ଚିକେନ ଟିକ୍କା"", ""pa - Punjabi"": ""ਚਿਕਨ ਟਿੱਕਾ"", ""pt - Portuguese"": ""Frango tikka"", ""ur - Urdu"": ""مرغ ٹکہ"", ""vi - Vietnamese"": ""Gà Tikka"", ""yue - Cantonese"": ""印度燒雞塊""}"
