context,type,Base Text,English,Indonesian (Formal),Indonesian (Casual),Chinese (Mandarin),Korean (Formal),Korean (Casual),Japanese (Formal),Japanese (Casual),Sundanese (Loma),Javanese (Krama),Javanese (Ngoko),Czech,Spanish,French,Arabic (MSA),Hindi,Marathi,Bengali,Sinhala  (formal-spoken),Yoruba,Cantonese,Hokkien (Medan),Hokkien (Medan - Spoken),Tagalog,Thai,Azerbaijani,Russian (Casual),Russian (Formal),Italian,Sardinian (Logudorese)
no_context,name,What is the name of this dish?,What is the name of this dish?,Apa nama hidangan ini?,Nama makanannya apa ya?,这道菜叫什么名字？,이 요리의 이름은 무엇입니까?,이 요리의 이름은 뭐야?,この料理の名前は何と呼ばれていますか?,この料理って何ていうの？,Naon ngaran ieu pasakan?,punapa namine dhaharan menika?,Opo jeneng panganan iki?,Jak se jmenuje toto jídlo?,¿Cuál es el nombre de este plato?,Quel est le nom de ce plat?,ماهو اسم هذا الطبق؟,इस व्यंजन का नाम क्या है?,या व्यंजनाचे नाव काय आहे?,এই খাবারের পদটির নাম কি?,මෙම කෑම වර්ගයේ  නම කුමක්ද ?,Ki ní orúkọ irúfẹ́ oúnjẹ yìí?,呢道菜叫咩名?,这类菜的名是啥物？,ce le chai e mia si ha mik?,Ano ang pangalan ng lutong ito?,อาหารจานนี้มีชื่อว่า?,Bu xörəyin adı nədir?,Как называется это блюдо?,Как называется это блюдо?,"Come si chiama questo piatto?
",Comente si giamat custu piàttu?
no_context,name,What is the name of the dish in this photo?,What is the name of the dish in this photo?,Apa nama makanan yang ada di gambar?,"Di foto ini, nama si makanan ini apa?",照片里的这道菜叫什么？,이 사진 속 요리의 이름은 무엇입니까?,이 사진 속 요리의 이름은 뭐야?,この写真の料理の名前は何ですか?,この写真の料理、何ていうの？,Naon ngaran ieu pasakan di poto?,punapa namine dhaharanipun dhateng foto menika?,Opo jenenge panganan ndek foto iki?,Jak se jmenuje jídlo na této fotografii?,¿Cuál es el nombre del plato en esta foto?,Quel est le nom du plat sur la photo?,ماهو اسم الطبق الذي في الصورة؟,इस तस्वीर में दिख रहे व्यंजन का नाम क्या है?,या फोटोतील व्यंजनाचे नाव काय आहे?,এই ছবিতে খাবারের পদটির নাম কি?,මෙම ඡායාරූපයේ තිබෙන කෑම වර්ගයේ නම කුමක්ද?,Ki ní orúkọ irúfẹ́ oúnjẹ tó wà nínú àwòrán yìí?,呢張相入面嘅菜叫咩名?,相影内面的菜叫做啥物？,sio eng lai bin e chai kio co ha mik?,Ano ang pangalan ng lutong nasa litrato?,อาหารในรูปภาพมีชื่อว่า?,Bu şəkildəki xörəyin adı nədir?,Как называется блюдо на этом фото?,Как называется блюдо на этом фото?,"Come si chiama il piatto in questa foto?
",Comente si giamat su piàttu in custa fotografia?
no_context,name,What is this food's name?,What is this food's name?,Apa nama makanan ini?,Apa nama makanan ini?,这是什么菜？,이 음식의 이름은 무엇입니까?,이 음식의 이름은 뭐야?,この食べ物の名前は何ですか?,この食べ物、何て言うの？,Ieu kadaharan téh naon ngaranna?,punapa namine dhaharan niki?,Opo jenenge panganan iki?,Jaký je název tohoto jídla?,¿Cuál es el nombre de esta comida?,Quel est le nom de cette nourriture?,ماهو اسم هذا الطعام؟,इस खाने का नाम क्या है?,या जेवणाचे नाव काय आहे?,খাবারের পদটির নাম কি?,මෙම ආහාරයේ නම කුමක්ද?,Ki ní orúkọ oúnjẹ yìí?,呢樣嘢食叫咩名？,这类菜的名是啥物？,ce le chai e mia si ha mik?,Ano ang pangalan ng pagkaing ito?,อาหารนี้มีชื่อว่า?,Bu yeməyin adı nədir?,Как называется эта еда?,Как называется эта еда?,Come si chiama questo cibo?,Comente si giamat custu manigu?
no_context,name,Can you tell me the name of this food?,Can you tell me the name of this food?,Bisakah anda sebutkan nama makanan ini?,"Eh, ini nama makanannya apa?",你能告诉我这道菜的名字吗？,이 음식의 이름을 알려주실 수 있나요?,이 음식의 이름을 알려줘?,この食べ物の名前を教えていただけますか?,この食べ物の名前、教えてもらえる？,Bisa béjaan ka urang ngaran ieu kadaharan?,tulung paringi ngertos kula punapa namaning dhaharan puniki,Coba dudohno aku opo jenenge panganan iki,"Můžete mi povědět, jaký je název tohoto jídla?",¿Podrías decirme el nombre de esta comida?,Pouvez-vous me donner le nom de ce plat?,هل يمكنك أن تخبرني ما اسم هذا الطعام؟,क्या आप मुझे इस खाने का नाम बता सकते हैं?,या खाद्यपदार्थाचे नाव सांगू शकाल का?,তুমি কি এই খাবার পদটির নাম বলতে পারবে?,මෙම ආහාරයේ නම මට කියන්න පුළුවන්ද?,Ṣé o lè sọ orúkọ oúnjẹ yìí fún mi?,你可唔可以話俾我知呢樣嘢食叫咩名？,你会跟我讲这类菜的名吗？,lu e kak wa kong ce le chai e mia bo?,Maaari mo bang ibigay sa akin ang pangalan ng pagkaing ito?,ช่วยบอกชื่อของอาหารนี้หน่อย?,Bu yeməyin adını mənə deyə bilərsinizmi?,"Можешь сказать, как называется эта еда?","Можете ли вы сказать, как называется эта еда?",Puoi dirmi il nome di questo cibo?,A mi podese narrere su numene de custu piàttu?
no_context,name,What is the name given to this dish?,What is the name given to this dish?,Apa nama yg diberikan untuk makanan ini?,Ini nama makanannya apa?,这道菜被命名为什么？,이 요리의 이름은 무엇인가요?,이 요리의 이름은 뭐야?,この料理名は何ですか?,この料理名って何？,Naon ngaran anu dibéré ka ieu pasakan?,Punapa nami kagem dhaharan puniki?,Opo jeneng kanggo panganan iki?,Jaký bývá nazýváno toto jídlo?,¿Cuál es el nombre de pila de este plato?,Quel est le nom qu'on donne à ce plat?,ما هو الإسم الذي يُطلَق على هذا الطعام؟,इस व्यंजन को क्या नाम दिया गया है?,या व्यंजनाचे नाव काय आहे?,এই খাবার পদটির কি নাম দেওয়া হয়েছে?,මෙම කෑම වර්ගයට දී තිබෙන නම කුමක්ද ?,Ki ní orúkọ tí wọ́n irúfẹ́ oúnjẹ yìí?,呢道菜叫咩名？,这类菜拿来叫做啥物名？,ce le chai gia lai kio co ha mik mia?,Ano ang pangalan na ibinigay sa lutong ito?,อาหารจานนี้ถูกเรียกว่า?,Bu xörəyə nə ad verilib?,Как называется это блюдо?,Как называется это блюдо?,Qual è il nome dato a questo piatto?,Cal'este su numene chi àna dadu a custu piàttu?
no_context,name,What is the typical name of this culinary dish?,What is the typical name of this dish?,Apa nama khusus untuk hidangan kuliner ini?,Nama khas makanan ini apa?,这道菜一般叫什么名字？,이 요리의 일반적인 이름은 무엇인가요?,이 요리는 보통 뭐라고 불러?,この料理の一般的な名称は何ですか?,この料理、普通は何て呼ばれてる？,Naon ngaran anu biasana dipaké ku ieu kulinér?,Punapa nami ingkang lumrahipun dipunangge kagem dhaharan puniki?,Opo jeneng sing biasane digunakake kanggo kuliner iki?,Jaký je typický název tohoto pokrmu?,¿Cuál es el nombre típico de este plato culinario?,Quel est le nom qu'on donne typiquement à ce plat?,ما هو الإسم الذي يُطلَق عادة على هذا الطبق؟,इस पाक व्यंजन का सामान्य नाम क्या है?,या व्यंजनाचे वैशिष्ट्यपूर्ण नाव काय आहे?,এই রন্ধনসম্পর্কীয় পদটিকে সাধারণতঃ কি নামে ডাকা হয় ?,මෙම සූප ශාස්ත්‍ර ආහාරයේ සාමාන්‍ය නම කුමක්ද ?,Orúkọ wo ni wọ́n sábà máa ń pe irúfẹ́ oúnjẹ yìí?,呢道菜一般叫咩名？,这类菜biasa叫做啥物名？,ce le chai biasa kio co ha mik mia?,Ano ang karaniwang pangalan ng lutong ito?,ชื่อโดยทั่วไปของอาหารจานนี้คือ?,Bu kulinariya xörəyinin tipik adı nədir?,Как обычно называют это кулинарное блюдо?,Как обычно называют это кулинарное блюдо?,Qual è il nome tipico di questa pietanza culinaria?,Cal'este su numene caratteristicu de custu piàttu de mànigu?
no_context,name,What is the proper name for this dish?,What is the proper name for this dish?,Apa nama yang sesuai untuk hidangan ini?,"Makanan ini, nama yang sesuai apa ya?",这道菜的正式名称是什么？,이 요리의 정확한 이름은 무엇인가요?,이 요리의 정확한 이름은 뭐야?,この料理の正式名称は何ですか?,この料理の正式な名前って何？,Naon ngaran anu lumrah jang ieu pasakan?,Punapa nami ingkang leres kagem dhaharan puniki?,Opo jeneng sing bener kanggo panganan iki?,Jaký je správný název tohoto jídla?,¿Cuál es el nombre propio de este plato?,Quel est le nom correct de ce plat?,ما هو الإسم المناسب لهذا الطبق؟,इस व्यंजन का सही नाम क्या है?,या जेवणाचे योग्य नाव काय आहे?,এই খাবারের পদটির সঠিক নাম কি?,මෙම ආහාරය සඳහා සුදුසු නම කුමක්ද ?,Kí ni orúkọ tó yẹ fún oúnjẹ yìí?,呢道菜嘅正式名係咩？,这类菜普通的名是啥物？,ce le chai pho thong e mia si ha mik?,Ano ang tamang pangalan ng lutong ito?,ชื่อที่ถูกต้องของอาหารจานนี้คือ?,Bu xörəyin düzgün adı nədir?,Как правильнее всего называть это блюдо?,Как правильнее всего называть это блюдо?,Qual è il nome proprio di questo piatto?,Cal'este su numene propriu de custu piàttu?
no_context,name,What food is in the picture?,What food is in the picture?,Makanan apakah yang ada di gambar?,Ini foto makanan apa?,图片中的食物是什么？,사진 속 음식은 무엇인가요?,사진 속 음식은 뭐야?,この写真には何の料理が写っていますか?,この写真の料理って何？,Kadaharan naon anu aya dina ieu gambar?,Dhaharan menapa ingkang wonten dhateng gambar puniki?,Panganan Opo sing ono ndek gambar iki?,Jaké jídlo je na tomto obrázku?,¿Qué alimentos aparecen en la foto?,Quel est le plat sur la figure?,ما هو الطعام الذي في هذا الشكل؟,इस तस्वीर में कौनसा खाना दिख रहा हैं?,चित्रात कोणते अन्न आहे?,ছবিটাতে কি খাবার দেখা যাচ্ছে?,මෙම පින්තුරයේ ඇති ආහාරය කුමක්ද?,Oúnjẹ wo ló wà nínú àwòrán yìí?,呢幅圖入面係咩嘢食?,相影内面的东西吃是啥物？,sio eng lai bin e mik kia ciak si ha mik?,Ano ang pagkain na nasa litrato?,อาหารที่อยู่ในรูปคือ?,Şəkildəki yemək necə adlanır?,Какая еда изображена на фотографии?,Какая еда изображена на фотографии?,Che cos'è il cibo nella foto?,Itt'este su mànigu chi s'idede in fotografia?
no_context,name,What is this food called?,What is this food called?,Disebut apakah makanan ini?,Makanan ini namanya apa?,这种食物叫什么？,이 음식은 뭐라고 부르나요?,이 음식은 뭐라고 불러?,この食べ物は何と言いますか?,この食べ物って何て言うの？,Naon disebutna ieu kadaharan?,Punapa uleman dhateng dhaharan puniki?,Opo celukan teko panganan iki?,Jak se říká tomuto jídlu?,¿Cómo se llama esta comida?,Comment appelle-t-on ce plat?,كيف يُسَّمى هذا الطعام؟,इस खाने को क्या कहते हैं?,या अन्नाला काय म्हणतात?,এই খাবারটির নাম কি?,මෙම ආහාරය හඳුන්වන්නේ කෙසේද?,Kí ni à ń pe oúnjẹ yìí?,呢樣嘢食叫咩？,这类东西吃是叫做啥物?,ce le ciak mik kia si kio co ha mik?,Ano ang tawag sa pagkaing ito?,อาหารนี้ถูกเรียกว่า?,Bu yemək necə adlanır?,Как называется эта еда?,Как называется эта еда?,Qual è il nome di questo cibo?,Cal'este su numene de custu manigu?
no_context,name,What is this culinary dish called?,What is this culinary dish called?,Disebut apakah hidangan kuliner ini?,Nama makanan kuliner ini apa?,这道菜肴叫什么名字？,이 요리를 뭐라고 부르나요?,이 요리를 뭐라고 불러?,この料理は何と言いますか?,この料理、何？,Naon disebutna ieu kulinér ?,Punapa uleman dhaharan puniki?,Opo celukan panganan iki?,Jak se nazývá tento pokrm?,¿Cómo se llama este plato culinario?,Comment appelle-t-on ce plat culinaire?,كيف يُسَّمى هذا الطبق؟,इस पाक व्यंजन को क्या कहते हैं?,या पाककृतीला काय म्हणतात?,এই রন্ধনসম্পর্কীয় পদটিকে কি নামে ডাকা হয় ?,මෙම සූප ශාස්ත්‍ර ආහාරය හඳුන්වන්නේ කෙසේද,Kí ni irúfẹ́ orúkọ oúnjẹ yìí?,呢道烹飪菜叫咩名？,这类系菜叫做啥物名?,ce le sek chai kio co ha mik mia?,Ano ang tawag sa lutong ito?,อาหารจานนี้เรียกว่า?,Bu kulinariya xörəyi necə adlanır?,Как называется это кулинарное блюдо?,Как называется это кулинарное блюдо?,Qual è il nome di questa pietanza culinaria?,Comente giamana custu mànigu tipicu?
